"dec","hex","ascii",,,,0,1,2,3,4,5,6,7,8
82,"52","R","f8a0b04800",,,"","?","","?","","?","","?",""
83,"53","S","48a89000",,,"?","?","","?","","?","","?",""
84,"54","T","80f88000",,,"","","?","?","","?","","?",""
85,"55","U","f00808f000",,,"?","","?","?","","?","","?",""
86,"56","V","c0300830c000",,,"","?","?","?","","?","","?",""
87,"57","W","f0081008f000",,"uppercase","?","?","?","?","","?","","?",""
88,"58","X","885020508800",,,"","","","?","?","?","","?",""
89,"59","Y","804038408000",,,"?","","","?","?","?","","?",""
90,"5A","Z","98a8a8a8c800",,,"","?","","?","?","?","","?",""
91,"5B","[",,,,"?","?","","?","?","?","","?",""
92,"5C","\","e0701800",,,"","","?","?","?","?","","?",""
93,"5D","]",,,,"?","","?","?","?","?","","?",""
94,"5E","^",,,,"","?","?","?","?","?","","?",""
95,"5F","_","08080800",,,"?","?","?","?","?","?","","?",""
96,"60","`","804000",,,"","","","?","","","?","?",""
97,"61","a","10a8a87800",,,"?","","","?","","","?","?",""
98,"62","b","f848483000",,,"","?","","?","","","?","?",""
