"dec","hex","ascii",0,1,2,3,4,5,6,7,8,"friden
bull","upper","friden
 president",
92,"5C","\","","","☻","●","☻","☻","","☻","",,,,
93,"5D","]","☻","","☻","●","☻","☻","","☻","",,,,
94,"5E","^","","☻","☻","●","☻","☻","","☻","",,,,
95,"5F","_","☻","☻","☻","●","☻","☻","","☻","",,,,
96,"60","`","","","","●","","","☻","☻","",,,,
97,"61","a","☻","","","●","","","☻","☻","","u","U","a","A"
98,"62","b","","☻","","●","","","☻","☻","","v","V","b","B"
99,"63","c","☻","☻","","●","","","☻","☻","",,,,
100,"64","d","","","☻","●","","","☻","☻","","x","X","d","D"
101,"65","e","☻","","☻","●","","","☻","☻","",,,,
102,"66","f","","☻","☻","●","","","☻","☻","",,,,
103,"67","g","☻","☻","☻","●","","","☻","☻","","punch off","punch off","g","G"
104,"68","h","","","","●","☻","","☻","☻","","t","T","h","H"
105,"69","i","☻","","","●","☻","","☻","☻","",,,,
106,"6A","j","","☻","","●","☻","","☻","☻","",,,,
107,"6B","k","☻","☻","","●","☻","","☻","☻","",,,".",":"
108,"6C","l","","","☻","●","☻","","☻","☻","",,,,
109,"6D","m","☻","","☻","●","☻","","☻","☻","","i","I",,
110,"6E","n","","☻","☻","●","☻","","☻","☻","",,,,
111,"6F","o","☻","☻","☻","●","☻","","☻","☻","",,,,
112,"70","p","","","","●","","☻","☻","☻","",9,"(","-","_"
113,"71","q","☻","","","●","","☻","☻","☻","",,,,
114,"72","r","","☻","","●","","☻","☻","☻","",,,,
115,"73","s","☻","☻","","●","","☻","☻","☻","","w","W","c","C"
116,"74","t","","","☻","●","","☻","☻","☻","",,,,
117,"75","u","☻","","☻","●","","☻","☻","☻","","y","Y","e","E"
118,"76","v","","☻","☻","●","","☻","☻","☻","","z","Z","f","F"
119,"77","w","☻","☻","☻","●","","☻","☻","☻","",,,,
120,"78","x","","","","●","☻","☻","☻","☻","",,,,
121,"79","y","☻","","","●","☻","☻","☻","☻","","s","S","i","I"
122,"7A","z","","☻","","●","☻","☻","☻","☻","",,,"punch off","punch off"
